iter	Logloss
0	0.5060676734
1	0.4280988773
2	0.3518664837
3	0.3151228428
4	0.2871911923
5	0.2674340606
6	0.2514638702
7	0.2387168606
8	0.2293141286
9	0.2159615358
10	0.2070184549
11	0.1992854675
12	0.1935470899
13	0.1807181239
14	0.1753762762
15	0.1704719861
16	0.1627022624
17	0.1548434496
18	0.1494784156
19	0.1443733871
20	0.1393558482
21	0.1346131861
22	0.1286755602
23	0.1248212059
24	0.1208278934
25	0.1154723763
26	0.1111869216
27	0.1062830687
28	0.103406618
29	0.09995313485
30	0.09617349505
31	0.09214824438
32	0.08901184797
33	0.08442782362
34	0.0815508465
35	0.07997823755
36	0.07700063785
37	0.07495951156
38	0.07285155853
39	0.07087308168
40	0.06715398033
41	0.06489894787
42	0.06209990382
43	0.06172356009
44	0.0603513519
45	0.05820738276
46	0.05739036202
47	0.05606529117
48	0.0548696965
49	0.053284958
50	0.05271884799
51	0.05235038698
52	0.04992354413
53	0.0479242752
54	0.04664256672
55	0.04513913393
56	0.04333087802
57	0.04238657157
58	0.04112552603
59	0.04078800728
60	0.03921103974
61	0.03796989471
62	0.03748908142
63	0.0364557604
64	0.03545743227
65	0.03481872876
66	0.03417948385
67	0.03329994281
68	0.03229204814
69	0.03168437382
70	0.03145627181
71	0.03069976469
72	0.02981988341
73	0.029290845
74	0.02888869743
75	0.02819934239
76	0.02725705504
77	0.0267114838
78	0.02644027273
79	0.0262155061
80	0.02556330462
81	0.02516035239
82	0.02452077717
83	0.02392443269
84	0.02373823027
85	0.02349906911
86	0.0229828606
